START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
06/24/15,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park,,06/24/15,06/24/15,10:05 PM,10:05 PM,FALSE,TRUE,06/24/15,06:05 PM,06:05 PM,FREE,BUSY
06/25/15,04:05 PM,04:05 PM,Braves at Nationals,Nationals Park,,06/25/15,06/25/15,07:05 PM,07:05 PM,FALSE,TRUE,06/25/15,03:05 PM,03:05 PM,FREE,BUSY
06/26/15,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park,,06/26/15,06/26/15,10:05 PM,10:05 PM,FALSE,TRUE,06/26/15,06:05 PM,06:05 PM,FREE,BUSY
06/27/15,03:05 PM,03:05 PM,Nationals at Phillies,Citizens Bank Park,,06/27/15,06/27/15,06:05 PM,06:05 PM,FALSE,TRUE,06/27/15,02:05 PM,02:05 PM,FREE,BUSY
06/28/15,01:35 PM,01:35 PM,Nationals at Phillies,Citizens Bank Park,,06/28/15,06/28/15,04:35 PM,04:35 PM,FALSE,TRUE,06/28/15,12:35 PM,12:35 PM,FREE,BUSY
06/30/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,06/30/15,06/30/15,10:10 PM,10:10 PM,FALSE,TRUE,06/30/15,06:10 PM,06:10 PM,FREE,BUSY
07/01/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,07/01/15,07/01/15,10:10 PM,10:10 PM,FALSE,TRUE,07/01/15,06:10 PM,06:10 PM,FREE,BUSY
07/02/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,07/02/15,07/02/15,10:10 PM,10:10 PM,FALSE,TRUE,07/02/15,06:10 PM,06:10 PM,FREE,BUSY
07/03/15,06:05 PM,06:05 PM,Giants at Nationals,Nationals Park,,07/03/15,07/03/15,09:05 PM,09:05 PM,FALSE,TRUE,07/03/15,05:05 PM,05:05 PM,FREE,BUSY
07/04/15,11:05 AM,11:05 AM,Giants at Nationals,Nationals Park,,07/04/15,07/04/15,02:05 PM,02:05 PM,FALSE,TRUE,07/04/15,10:05 AM,10:05 AM,FREE,BUSY
07/05/15,01:35 PM,01:35 PM,Giants at Nationals,Nationals Park,,07/05/15,07/05/15,04:35 PM,04:35 PM,FALSE,TRUE,07/05/15,12:35 PM,12:35 PM,FREE,BUSY
07/06/15,07:05 PM,07:05 PM,Reds at Nationals,Nationals Park,,07/06/15,07/06/15,10:05 PM,10:05 PM,FALSE,TRUE,07/06/15,06:05 PM,06:05 PM,FREE,BUSY
07/07/15,07:05 PM,07:05 PM,Reds at Nationals,Nationals Park,,07/07/15,07/07/15,10:05 PM,10:05 PM,FALSE,TRUE,07/07/15,06:05 PM,06:05 PM,FREE,BUSY
07/08/15,07:05 PM,07:05 PM,Reds at Nationals,Nationals Park,,07/08/15,07/08/15,10:05 PM,10:05 PM,FALSE,TRUE,07/08/15,06:05 PM,06:05 PM,FREE,BUSY
07/10/15,07:05 PM,07:05 PM,Nationals at Orioles,Oriole Park at Camden Yards,,07/10/15,07/10/15,10:05 PM,10:05 PM,FALSE,TRUE,07/10/15,06:05 PM,06:05 PM,FREE,BUSY
07/11/15,07:15 PM,07:15 PM,Nationals at Orioles,Oriole Park at Camden Yards,,07/11/15,07/11/15,10:15 PM,10:15 PM,FALSE,TRUE,07/11/15,06:15 PM,06:15 PM,FREE,BUSY
07/12/15,01:35 PM,01:35 PM,Nationals at Orioles,Oriole Park at Camden Yards,,07/12/15,07/12/15,04:35 PM,04:35 PM,FALSE,TRUE,07/12/15,12:35 PM,12:35 PM,FREE,BUSY
07/14/15,03:33 AM,03:33 AM,AL All-Stars at NL All-Stars,Great American Ball Park,,07/14/15,07/14/15,06:33 AM,06:33 AM,FALSE,TRUE,07/14/15,02:33 AM,02:33 AM,FREE,BUSY
07/17/15,07:05 PM,07:05 PM,Dodgers at Nationals,Nationals Park,,07/17/15,07/17/15,10:05 PM,10:05 PM,FALSE,TRUE,07/17/15,06:05 PM,06:05 PM,FREE,BUSY
07/18/15,04:05 PM,04:05 PM,Dodgers at Nationals,Nationals Park,,07/18/15,07/18/15,07:05 PM,07:05 PM,FALSE,TRUE,07/18/15,03:05 PM,03:05 PM,FREE,BUSY
07/19/15,01:35 PM,01:35 PM,Dodgers at Nationals,Nationals Park,,07/19/15,07/19/15,04:35 PM,04:35 PM,FALSE,TRUE,07/19/15,12:35 PM,12:35 PM,FREE,BUSY
07/20/15,07:05 PM,07:05 PM,Mets at Nationals,Nationals Park,,07/20/15,07/20/15,10:05 PM,10:05 PM,FALSE,TRUE,07/20/15,06:05 PM,06:05 PM,FREE,BUSY
07/21/15,07:05 PM,07:05 PM,Mets at Nationals,Nationals Park,,07/21/15,07/21/15,10:05 PM,10:05 PM,FALSE,TRUE,07/21/15,06:05 PM,06:05 PM,FREE,BUSY
07/22/15,12:35 PM,12:35 PM,Mets at Nationals,Nationals Park,,07/22/15,07/22/15,03:35 PM,03:35 PM,FALSE,TRUE,07/22/15,11:35 AM,11:35 AM,FREE,BUSY
